Age,Age_brackets,gender,state,country_name
81,0,M,Illinois,Austria
74,1,M,Illinois,France
53,2,M,California,Portugal
75,3,M,California,Italy
68,4,M,Illinois,United Kingdom
74,5,M,California,Ireland
75,6,M,California,United Kingdom
83,7,M,New York,Italy
45,8,M,Wisconsin,Finland
73,9,M,California,Italy
81,10,M,California,Finland
57,11,M,Alabama,Germany
82,12,M,Ohio,Spain
61,13,M,California,United Kingdom
50,14,F,California,Denmark
77,15,M,California,Denmark
72,16,M,North Carolina,Spain
70,17,M,Illinois,Germany
79,18,M,Florida,Italy
87,19,F,California,France
55,20,F,New York,Malta
81,21,M,California,Spain
77,22,M,Kansas,Spain
55,23,M,New York,Slovakia
83,24,M,California,Germany
59,25,M,New York,France
68,26,M,California,Austria
92,27,F,North Carolina,Slovakia
70,28,M,Missouri,Bulgaria
78,29,M,Oregon,Germany
68,30,F,Texas,United Kingdom
63,31,M,Nevada,Germany
67,32,M,Florida,United Kingdom
72,33,M,Texas,Spain
76,34,M,California,United Kingdom
43,35,M,Louisiana,Germany
78,36,F,Oregon,Spain
88,37,M,California,United Kingdom
75,38,M,District of Columbia,Germany
62,39,F,Ohio,Germany
64,40,M,Texas,Denmark
70,41,M,Maryland,Spain
84,42,M,California,Slovenia
76,43,M,Florida,Hungary
40,44,M,New York,Ireland
86,45,M,California,France
78,46,F,Oklahoma,Italy
59,47,M,Illinois,Greece
87,48,M,New York,Italy
93,49,M,Indiana,Italy
51,0,M,New York,Bulgaria
76,1,F,Colorado,Bulgaria
66,2,F,Florida,Spain
75,3,M,Washington,Greece
85,4,M,Utah,Germany
57,5,M,Florida,France
56,6,M,Utah,United Kingdom
74,7,M,California,Denmark
76,8,M,Ohio,France
66,9,M,Florida,Germany
74,10,F,Oregon,Germany
15,11,M,California,Slovakia
77,12,F,Wisconsin,Finland
39,13,M,Washington,Spain
57,14,M,Washington,Austria
78,15,M,Minnesota,Finland
33,16,M,Florida,Germany
58,17,M,New York,Spain
79,18,M,Nevada,Italy
78,19,M,California,Finland
70,20,M,Washington,Croatia
76,21,M,Michigan,Spain
87,22,M,California,Bulgaria
53,23,M,Washington,Finland
83,24,M,Nevada,Austria
87,25,M,California,Italy
82,26,M,New York,Sweden
55,27,M,California,Greece
57,28,F,California,Luxembourg
88,29,M,California,United Kingdom
74,30,F,Georgia,Greece
80,31,M,Washington,Germany
104,32,M,Connecticut,United Kingdom
66,33,M,California,Ireland
74,34,M,New York,Denmark
79,35,M,Georgia,Germany
72,36,F,Arizona,Italy
74,37,M,Florida,Italy
79,38,M,Indiana,Italy
71,39,M,Colorado,Portugal
70,40,M,California,Germany
83,41,M,Florida,Bulgaria
43,42,M,Florida,Spain
33,43,M,Mississippi,Finland
57,44,F,Texas,France
61,45,M,New York,Germany
75,46,M,Georgia,France
78,47,F,Alabama,Spain
42,48,M,Illinois,United Kingdom
83,49,M,New York,Germany
53,0,M,New York,Germany
67,1,M,California,France
42,2,M,Washington,Ireland
71,3,M,Virginia,United Kingdom
84,4,F,Utah,Finland
87,5,M,Wisconsin,United Kingdom
74,6,F,Florida,France
72,7,M,Michigan,Finland
49,8,M,California,Spain
87,9,M,New York,Italy
47,10,M,Texas,Portugal
49,11,F,California,Bulgaria
53,12,M,Illinois,Ireland
71,13,M,Kentucky,Italy
81,14,M,California,France
83,15,M,Florida,Germany
58,16,M,Virginia,Greece
61,17,M,California,Luxembourg
49,18,M,Minnesota,Germany
53,19,F,California,Germany
53,20,M,Pennsylvania,Spain
40,21,M,California,Germany
59,22,M,California,Italy
88,23,M,Ohio,Italy
32,24,M,New York,Germany
35,25,M,Ohio,Greece
59,26,F,Missouri,Sweden
84,27,M,Florida,Finland
60,28,M,Illinois,Ireland
47,29,M,Nevada,France
51,30,M,Washington,France
64,31,M,Virginia,Finland
76,32,M,Washington,Italy
55,33,M,New York,Italy
51,34,M,Texas,Greece
64,35,M,Virginia,United Kingdom
40,36,M,Massachusetts,United Kingdom
41,38,M,California,United Kingdom
67,39,M,Indiana,Italy
75,40,M,Virginia,Spain
43,41,F,California,Romania
65,42,M,Michigan,France
70,43,M,Virginia,Ireland
73,44,F,Illinois,Greece
78,45,M,Pennsylvania,Denmark
44,46,M,Utah,Denmark
70,47,M,Massachusetts,France
70,48,M,Nevada,Germany
40,49,M,Texas,Germany
46,0,M,Virginia,Spain
83,1,M,Connecticut,Germany
35,2,M,New York,France
71,3,M,Missouri,Bulgaria
73,4,M,Illinois,Poland
35,5,M,Washington,Sweden
76,6,M,New Jersey,Denmark
79,7,M,Ohio,United Kingdom
41,8,M,Kentucky,Ireland
45,9,F,Arizona,Italy
62,10,M,California,Spain
84,11,M,California,Spain
54,12,M,New Jersey,Germany
67,13,M,Connecticut,Germany
67,14,M,Massachusetts,Czech Republic
65,15,F,Florida,Spain
70,16,M,Maryland,Spain
75,17,F,New Jersey,Greece
61,18,M,Oklahoma,Germany
77,19,M,California,Estonia
71,20,M,Maryland,Ireland
77,21,M,New Jersey,Germany
79,22,M,Texas,France
58,23,M,Utah,Greece
67,24,M,Texas,Slovenia
46,25,M,California,Italy
66,26,M,California,Spain
66,27,M,Indiana,Germany
82,28,F,California,Bulgaria
61,29,M,Minnesota,France
61,30,M,Connecticut,Spain
66,31,F,California,Netherlands
68,32,M,New York,Spain
59,33,M,Texas,Germany
70,34,M,California,France
65,35,M,Indiana,Ireland
69,36,F,Indiana,France
54,37,M,Texas,Spain
67,38,M,Virginia,Italy
67,39,M,Florida,Germany
55,40,M,California,Spain
74,41,F,West Virginia,Italy
62,42,M,California,United Kingdom
72,43,M,Virginia,Denmark
75,44,F,Illinois,United Kingdom
77,45,M,California,United Kingdom
39,46,M,California,Spain
